job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
Big Data Admin (Kafka/Docker/Data Warehousing/Spark),"Big Data, Data Warehousing, Docker, MySQL, Kafka, Hadoop",1 years,Ha Noi,Giao Hàng Tiết Kiệm,onsite,600,1200,USD
Security Engineer (Cloud & CI/CD),"Security, DevSecOps, AWS, Linux, SIEM, CI/CD",2 years,Ha Noi,VIETTEL CUSTOMER SERVICE,onsite,1000,2000,USD
"Senior Embedded QT Architect (C++, Linux, AI-First)","Embedded, Clean Architecture, AI, Linux, C++, Qt",5-8 years,Ha Noi,NTP-Tech,onsite,2000,2000,USD
"QA Manager (Tester, Japanese N2+)","QA QC, Leadership, Tester, Scrum, Agile, Japanese",5+ years,Ho Chi Minh,"ANDPAD VietNam Co., Ltd",onsite,,,
Senior Cloud Security Engineer,"Cloud Security, Golang, DevSecOps, Container Security, Information Security, Security",5+ years,Ha Noi,CTCP SÀN GIAO DỊCH TÀI SẢN MÃ HÓA VIỆT NAM THỊNH VƯỢNG (CAEX),onsite,2000,3000,USD
.NET Developer,".NET, English, .Net Core, C#",3+ years,Ho Chi Minh,Simpson Strong-Tie Vietnam,hybrid,,,
Senior Full-stack Developer (SAP Hybris),"Java, Microservices, ReactJS, Spring Boot, SAP",5 years,Ho Chi Minh,Simpson Strong-Tie Vietnam,remote,,,
AI Software Engineer (Python/Go/C/C++ & AI Agents),"Python, FastAPI, Docker, Microservices Architecture, Golang, C++",,Ha Noi,MB Bank,onsite,,,
Agentic Engineer (Python/Go/C/C++ Backend & AI Agents),"Python, TensorFlow, Flask, FastAPI, Microservices, C++",,Ha Noi,MB Bank,onsite,,,
(HOLT.17)Senior AI Engineer (Computer Vision/NPL/LLM),"AI, TensorFlow, PyTorch, Microservices, C++, Python",2 years,Ha Noi,MB Bank,onsite,,,
(HOLT.16) Senior AI Expert (Machine Learning),"AI, LLM, Deep Learning, Machine Learning, Computer Vision, NLP",5 years,Ha Noi,MB Bank,onsite,,,
"(HOLT.15) AI Expert (Deep Learning, Machine Learning)","AI, LLM, Deep Learning, Machine Learning, Computer Vision, NLP",3 years,Ha Noi,MB Bank,onsite,,,
(HO26.85) Trưởng phòng Công nghệ Thị giác Máy tính,"Computer Vision, Deep Learning, TensorFlow, PyTorch, Machine Learning, AI",5 years,Ha Noi,MB Bank,onsite,,,
(HO26.84) CV Phát triển khoa học dữ liệu-Data Scientist,"Big Data, AI, Data Science",1 years,Ha Noi,MB Bank,onsite,,,
VAI_Senior Solution Architect,"Software Architecture, Design, Team Management, JavaScript, Agile, Python",5 years,Ha Noi,Viettel Group,onsite,1200,2500,USD
"System Engineer (JavaScript, APIs, AWS, Azure, GCP)","System Admin, GCP, Azure, AWS, API, JavaScript",,Ha Noi,AI AVATAR,onsite,1500,3500,USD
Senior Business Analyst & Technical Writer (AI-First),"Business Analysis, Product Owner, English, AI, Technical Writing",7+ years,Ha Noi,NTP-Tech,onsite,40000000,40000000,VND
VAI_Quality Assurance Engineer,"QA QC, Project Management, Product Management, Team Management",2 years,Ha Noi,Viettel Group,onsite,500,1100,USD
VAI_Fullstack Engineer,"Software Architecture, Scala, Team Management, JavaScript, Agile, Python",2 years,Ha Noi,Viettel Group,onsite,700,2500,USD
"Cloud Solution Architect (AWS) (Senior, Junior)","Solution Architecture, System Architecture, Cloud-native Architecture, Presale, Cloud, AWS",1-5 years,Ha Noi,MEGAZONE,onsite,,,
AI Engineer,"AI, Python, Docker, LLM, Generative AI",5+ years,Ho Chi Minh,Dirox,hybrid,,,
AI Architecture Lead (SA),"Python, AI, AWS, DevOps, Software Architecture",5+ years,Ha Noi,VinSmart Future,onsite,,,
"DevSecOps (Jenkins, gitlab)","DevSecOps, GitLab, Jenkins, Networking, Security, DevOps",05 years,Ha Noi,ABBANK,onsite,,,
Backend Developer (Java/ WebSocket/ Redis/ Kafka),"Java, Redis, MySQL, Kafka, Spring",5 years,Ho Chi Minh,RGP Software Processing,onsite,,,
Mid/Sr Java Developer (English Required) - Up to 3200$,"Java, Unit test, Spring Boot, Spring, SQL, English",5+ years,Ho Chi Minh,"Rakuten Fintech Vietnam Co., Ltd.",onsite,1500,3200,USD
Game Client Developer (Cocos Creator/Unity/C#),"Games, Spin, Cocos Creator, Cocos2d-x, C#, Unity",3 years,Ho Chi Minh,RGP Software Processing,onsite,,,
"AI Developer (Python, C#, Git, JavaScript, Azure)","AI, Azure, JavaScript, Git, C#, Python",,Ho Chi Minh,SAVILLS VIETNAM,onsite,,,
Enterprise Architecture (Quản Trị Kiến Trúc),"Solution Architecture, Leadership, Software Architecture",5 years,Ha Noi,ABBANK,onsite,1500,2200,USD
"Senior Fullstack Developer (ReactJS, NodeJS)","JavaScript, Product Management, Generative AI, NodeJS, ReactJS",5+ years,Ho Chi Minh,Template.net,onsite,,,
Android Developer (Middle - Senior),"Android, Agile",8 years,Ha Noi,Ingenico Vietnam,onsite,,,
"CVCC Quản trị dữ liệu (Data Governance, SQL, R )-K.CNTT","Python, Data Quality Tools, Data Lineage, Database, PL/SQL, SQL",3 years,Ha Noi,PVcomBank,onsite,,,
CVCC Phát triển hệ thống Quản trị tài chính - K.CNTT,"PL/SQL, SQL, Business Intelligence, Business Analysis, Scrum, Agile",3 years,Ha Noi,PVcomBank,onsite,,,
Korean Bridge Software Engineer,"Bridge Engineer, IT Communication/Translation, Project Management, Business Analysis, Korean",1 years,Ha Noi,LG CNS Việt Nam,onsite,500,2000,USD
Application Architect,"Microservices Architecture, Agile, Networking, Linux, GCP",7+ years,Ha Noi,LG CNS Việt Nam,onsite,,,
Senior Machine Learning Engineer (Open for Team Lead),"Machine Learning, English, NLP, LLM, Python",3+ years,Ho Chi Minh,Home Credit Vietnam,onsite,,,
"Senior DevSecOps Engineer –Logistics Platform (AWS,SQL)","AWS, OWASP, Git, DNS Security, Docker, SQL",4+ years,Ho Chi Minh,Smartlog,onsite,1600,2000,USD
Technical Lead (Ruby/Java/NodeJS/PHP),"Ruby on Rails, Java, Ruby, PHP, NodeJS, English",8 years,Ho Chi Minh,RAKSUL Vietnam,hybrid,2800,3500,USD
"Junior Power Platform Dev(UI/UX, .NET)(Strong English)","UI-UX, HTML, JavaScript, ASP.NET, C#, .NET",,Ho Chi Minh,Wilmar CLV (Cambodia Laos Vietnam),onsite,,,
".NET Developer (C#, ASP.NET,...)(strong English)",".NET, API, SQL, MVC, ASP.NET, C#",,Ho Chi Minh,Wilmar CLV (Cambodia Laos Vietnam),onsite,,,
"AI Engineer (Python, Microservices, Docker)","AI, Docker, Microservices, Python",5 years,Ha Noi,ABBANK,onsite,,,
PHP Team Leader (Laravel/ SQL),"PHP, Leadership, Laravel, Database, Symfony, SQL",,Ho Chi Minh,ORO Vietnam,onsite,1500,2500,USD
"Senior Analyst, Operations FP&A (English)","Predictive Analytics, Strategy planning, English, Power BI, NetSuite, Statistical Analysis",7 years,Ho Chi Minh,Aviron,onsite,,,
Technical Project Manager (English),"Team Management, Stakeholder management, Product Management, Lean Project Management, Risk Management, Project Management",8 years,Ho Chi Minh,Terralogic,onsite,1800,2500,USD
"System Administrator (Windows Server, Linux)","System Admin, Cisco, Firewall, VMware, Linux, Windows Server",2 years,Ha Noi,Công ty cổ phần Tập đoàn Công nghệ Quảng Ích (QIG),onsite,,,
Senior Backend Engineer (Nodejs),"NodeJS, Redis, MongoDB, PostgreSql, MySQL, OOP",5+ years,Ho Chi Minh,FireGroup,onsite,,,
[Global Market] Database Developer (SQL),"NoSQL, English, SQL",2+ years,Ha Noi,RIKKEISOFT,onsite,900,1700,USD
Senior Golang Developer,"Golang, Microservices, Kubernetes, Docker, Redis, PostgreSql",3+ years,Ho Chi Minh,CÔNG TY TNHH FINAN,onsite,,,
Senior QA/QC Engineer,"QA QC, Selenium, Python, Java, Postman",3+ years,Ho Chi Minh,CÔNG TY TNHH FINAN,onsite,,,
Data Engineer (Middle),"Python, MongoDB, PostgreSql, AI, SQL",5+ years,Ho Chi Minh,CÔNG TY TNHH FINAN,onsite,,,
Senior Java AI Backend Engineer (English),"Java, English, AWS, Python, AI",,Ho Chi Minh,HRS Group,onsite,,,
Technical  Animator (Avatar Motion & Unity Integration),"Unity, Blender, Design",2 years,Ho Chi Minh,Optimizer Việt Nam,onsite,,,
Backend Engineer (Go/Java),"Golang, CI/CD, Java, Database, Security, Microservices",5+ years,Ho Chi Minh,Trusting Social,onsite,,,
"(Senior) Mobile Developer (iOS, Android)","iOS, Java, Swift, Kotlin, Android, English",5+ years,Ha Noi,GFT Technologies Vietnam,onsite,,,
Engineering Director (Open for Expat),"Project Management, Team Management, English",10+ years,Ho Chi Minh,"MONEY FORWARD VIETNAM CO.,LTD",hybrid,,,
Technical Lead (Go/Java/Kotlin/TypeScript/Python),"Golang, Python, TypeScript, Kotlin, Java",5+ years,Ho Chi Minh,"MONEY FORWARD VIETNAM CO.,LTD",hybrid,,,
"Software Engineer II (C#, dotnet,Java)","C#, Golang, Java, .NET",3 years,Ho Chi Minh,Motorola Solutions,onsite,,,
Project Manager,"Project Management, Agile, English",3+ years,Ho Chi Minh,MOR,onsite,1600,2700,USD
CV Báo cáo tuân thủ - Compliance Reporting Officer,"SQL, Power BI, Data Privacy / Compliance, Oracle, Tableau",1 years,Ha Noi,MB Bank,onsite,,,
Data Quality Management Specialist,"Data Privacy / Compliance, Cloud Security, Data Quality Tools, Data Science",1 years,Ha Noi,MB Bank,onsite,,,
Frontend Engineer,"TypeScript, Tailwind, NextJS, ReactJS",3+ years,Ho Chi Minh,Vulcan Labs,onsite,,,
"Mid/Sr/Lead .NET Backend Developer (C#, SQL)",".NET, Team Management, SQL, English, C#, Azure",,Ha Noi,NTQ Solution,onsite,1800,1800,USD
"Infrastructure Architecture Expert (Cloud, On-premise)","Cloud, DevOps, System Admin, Software Architecture, Security, Networking",10-15 years,Ha Noi,ABBANK,onsite,2000,2500,USD
[All level] Network Administrator (Cisco/HP/Juniper),"Networking, PCI DSS, Juniper, Cisco, System Admin",01 years,Ha Noi,MB Bank,onsite,,,
Chuyên viên Quản lý Hạ tầng Trung tâm Dữ liệu,"Linux, MySQL, Security, Penetration Testing, SQL",,Ha Noi,MB Bank,onsite,,,
Senior Bridge Engineer - BrSE (Japanese N2+),"Bridge Engineer, Japanese, Project Management, QA QC, Software Architecture, English",3 years,Ho Chi Minh,"ANDPAD VietNam Co., Ltd",onsite,,,
"Senior iOS Engineer (Swift, MVVM, MVC)","iOS, OOP, AI, MVC, Swift, MVVM",,Ho Chi Minh,EPAM Vietnam,remote,,,
Data Engineer (Java/Python/Scala/Hadoop/Kafka),"Data Engineer, Hadoop, Big Data, Scala, Python, Java",3 years,Ha Noi,Giao Hàng Tiết Kiệm,onsite,1900,2600,USD
"Senior Java Engineer (Spring Boot, Microservices, SQL)","Java, CI/CD, SOLID Principles, Spring Boot, Microservices, SQL",5 years,Ho Chi Minh,EPAM Vietnam,remote,,,
Java Spring Boot (20-40 Mil),"Java, JavaScript, Angular, English, Spring Boot",03 years,Ha Noi,Nitori Digital Base Vietnam,hybrid,800,1500,USD
[HCM] Salesforce Developer (All level) | Up to 55M VND,"Salesforce, CRM, JavaScript, Japanese, English",6+ years,Ho Chi Minh,Hybrid Technologies,onsite,1000,2000,USD
"Mobile App Developer (.NET, Xamarin, iOS/Android, AI)",".NET, English, Xamarin, Android, iOS, AI",3 years,Ho Chi Minh,Song Technologies LLC,onsite,,,
Technical Architect,"Team Management, Microservices Architecture, System Architecture, Solution Architecture, Software Architecture, Leadership",10 years,Ho Chi Minh,HSC,onsite,,,
Frontend Developer (Shopify/Wordpress Developer),"JavaScript, HTML, VueJS, ReactJS, TypeScript, CSS",,Ha Noi,SOLIS LAB,onsite,800,1200,USD
Security Architect / Senior Security Engineer,"Cybersecurity, Zero Trust Architecture, Cryptography, Security",,Ho Chi Minh,Prime Tech Solution,hybrid,,,
Data Engineer Leader,"Data Engineer, AI, Data Privacy / Compliance, Data Warehousing, Cloud-native Architecture",12+ years,Ho Chi Minh,Fullerton Health,onsite,,,
Software Asset Management Specalist,"Scrum, Team Management",2 years,Ho Chi Minh,Renesas Design Vietnam,hybrid,,,
"Manual QA Engineer/Tester (QA QC, English, Insurance)","QA QC, Tester, Agile",2 years,Ho Chi Minh,FWD VTC,hybrid,,,
"Backend Technical Lead ( Storefront, C#, .NET. ASP.NET)","C#, ASP.NET, Database, Microservices, Java, .NET",7 years,Ha Noi,Crossian,onsite,,,
GCP Cloud specialist (Japanese speaking),"GCP, Japanese, Terraform, Cloud",5+ years,Ho Chi Minh,Capgemini Vietnam,onsite,,,
Senior Application Operations (Vận hành ứng dụng),"DevOps, System Architecture, Splunk, CI/CD, Grafana, Cloud",3 years,Ha Noi,Công ty Cổ phần Thanh toán số MobiFone,onsite,1000,3000,USD
GNSS Engineer – Android Automotive (Good English),"C++, Sensor Fusion, Embedded, English, Android",,Ha Noi,Suntech Vina (Hợp tác cùng tập đoàn CNTT hàng đầu Ấn độ),onsite,,,
Software Project Manager – Japanese OR Chinese Speaking,"Embedded, Chinese, Japanese, Embedded C, Project Management, Software Architecture",8 years,Ho Chi Minh,Bosch Global Software Technologies Company Limited,onsite,,,
Team Leader SOC/ Pentest,"Pentest, Leadership, API, Security",10 years,Ha Noi,NGÂN HÀNG THƯƠNG MẠI TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG (GPBANK),onsite,,,
"Automation Tool Developer (Python, Embedded, English)","Python, Embedded, ThreadX, OOP, English",3 years,Ha Noi,LG Electronics Development Vietnam (LGEDV),onsite,800,1500,USD
[Sign-on Bonus] Project Leader/ BrSE (Japanese N2+),"Bridge Engineer, Angular, Japanese IT Communication, Java, Japanese, Project Management",5+ years,Da Nang,NEC Vietnam,onsite,,,
"Software Engineer (Embedded C, MCU, RTOS)","Embedded C, RTOS",2 years,Ha Noi,LG Electronics Development Vietnam (LGEDV),onsite,800,2200,USD
"R&D System Engineer (VMware, Docker, Kubernetes)","System Admin, VMware, Kubernetes, Docker, Networking, Security",2 years,Ho Chi Minh,GLOBALTECH,onsite,,,
"Automotive Software Engineer (C++, OOP, Middleware)","C++, Middleware, Linux, OOP, Embedded",,Ha Noi,LG Electronics Development Vietnam (LGEDV),onsite,800,2500,USD
Senior Technical Product Manager (Agentic AI),"AI, Product Metrics, Business Analysis, LLM, Product strategy, Product Management",5+ years,Ho Chi Minh,Katalon,onsite,,,
Application & Cloud Security Engineer,"Application Security, API, OWASP, Cloud Security, Microsoft Azure SQL Database, AWS",3+ years,Ha Noi,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,onsite,,,
"IT Business Analyst (T24, banking, finance)","Business Analysis, Data Analysis, Jira",5 years,Ha Noi,ABBANK,onsite,,,
[REMOTE] 2D Game Artist,"UI-UX, Design, Generative AI, Spine, Adobe Photoshop",4+ years,Ho Chi Minh,Athena Studio,remote,,,
[REMOTE] Game Designer,"Design, Games",5+ years,Ho Chi Minh,Athena Studio,remote,,,
QA Engineer (Automation/Manual Testing)~Up to $1500,"QA QC, Automation Test, Tester, AI, English",3+ years,Ha Noi,Ewoosoft Vietnam,onsite,,,
Data Platform Engineer,"Machine Learning, Kubernetes, Spark, Linux, Data Engineer",3 years,Ho Chi Minh,Home Credit Vietnam,onsite,,,
